brand_name,indication,disease,disease_category,year,women,white,black,asian,other,hispanic,us_only,age_65,age_75,age_80
Nerlynx,Treatment of HER2 positive breast cancer,Her2 Positive Breast Cancer,Cancer,2017,100.0,81.0,3.0,13.0,3.0,2%,32%,12.0,,
Ocrevus,Treatment of multiple sclerosis,Multiple Sclerosis,Neurological,2017,61.0,92.0,4.0,0.0,4.0,11%,26%,0.0,,
Ozempic,Treatment of type 2 diabetes mellitus,Type 2 Diabetes Mellitus,Metabolic / Genetic,2017,42.0,70.0,6.0,22.0,2.0,16%,28%,34.0,,
Parsabiv,Treatment of secondary hyperparathyroidism in patients with chronic kidney disease on hemodialysis,Secondary Hyperparathyroidism,Metabolic / Genetic,2017,40.0,66.0,28.0,3.0,3.0,13%,52%,35.0,,
Prevymis,Prevention of cytomegalovirus infection in allogeneic hematopoietic stem cell transplant,Cytomegalovirus Infection,Infectious Disease,2017,42.0,82.0,2.0,10.0,6.0,7%,36%,16.0,,
Radicava,Treatment of amyotrophic lateral sclerosis,Amyotrophic Lateral Sclerosis,Neurological,2017,39.0,0.0,0.0,100.0,0.0,0%,0%,30.0,,
Rhopressa,Treatment of open angle glaucoma,Open Angle Glaucoma,Other,2017,62.0,73.0,25.0,2.0,0.0,19%,100%,54.0,,
Rydapt,Treatment of acute myelogenous leukemia,Acute Myelogenous Leukemia,Cancer,2017,56.0,38.0,2.0,2.0,58.0,2%,33%,0.0,,
Rydapt,Treatment of systemic mastocytosis,Systemic Mastocytosis,Immune / Inflammatory,2017,36.0,93.0,1.0,0.0,6.0,3%,41%,45.0,,
Siliq,Treatment of plaque psoriasis,Plaque Psoriasis,Immune / Inflammatory,2017,31.0,91.0,3.0,3.0,3.0,NR,22%,6.0,,
Solosec,Treatment of bacterial vaginosis,Bacterial Vaginosis,Infectious Disease,2017,100.0,46.0,50.0,1.0,3.0,15%,100%,0.0,,
Steglatro,Treatment of type 2 diabetes mellitus,Type 2 Diabetes Mellitus,Metabolic / Genetic,2017,48.0,77.0,5.0,13.0,5.0,24%,28%,26.0,,
Symproic,Treatment of opioid-induced constipation,Opioid-Induced Constipation,Other,2017,62.0,80.0,18.0,1.0,1.0,8%,85%,15.0,,
Tremfya,Treatment of plaque psoriasis,Plaque Psoriasis,Immune / Inflammatory,2017,29.0,82.0,2.0,14.0,2.0,6%,20%,5.0,,
Trulance,Treatment of chronic idiopathic constipation,Chronic Idiopathic Constipation,Other,2017,79.0,72.0,23.0,3.0,2.0,41%,98%,11.0,,
Tymlos,Treatment of postmenopausal osteoporosis,Postmenopausal Osteoporosis,Metabolic / Genetic,2017,100.0,80.0,3.0,16.0,1.0,24%,2%,81.0,,
Vabomere,Treatment of complicated urinary tract infection,Complicated Urinary Tract Infection,Infectious Disease,2017,66.0,93.0,1.0,2.0,4.0,8%,3%,35.0,,
Verzenio,"Treatment of HR-positive, HER2-negative breast cancer","Hr-Positive, Her2-Negative Breast Cancer",Cancer,2017,100.0,61.0,2.0,27.0,10.0,12%,19%,36.0,,
Vosevi,"Treatment of hepatitis C genotypes 1, 2, 3, 4, 5 or 6","Hepatitis C Genotypes 1, 2, 3, 4, 5 Or 6",Infectious Disease,2017,23.0,84.0,12.0,2.0,2.0,7%,57%,16.0,,
